metric,period,geography,value,unit,evidence_type,source_org,source_date,source_url,limitations
noncash_count,H2_2025,Euro_area,83.5,billion_transactions,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Provisional/rounded aggregate"
card_share_count,H2_2025,Euro_area,57,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
credit_transfer_share_count,H2_2025,Euro_area,21,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
direct_debit_share_count,H2_2025,Euro_area,14,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
e_money_share_count,H2_2025,Euro_area,6,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
card_count,H2_2025,Euro_area,47.8,billion_transactions,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Provisional"
card_value,H2_2025,Euro_area,1.8,EUR_trillion,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate"
remote_share_count,H2_2025,Euro_area,19,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
remote_share_value,H2_2025,Euro_area,30,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
contactless_share_nonremote_count,H2_2025,Euro_area,85,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Rounded aggregate share"
cyprus_card_share,H2_2025,Cyprus,75,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Approximate share as reported in ECB release"
latvia_credit_transfer_share,H2_2025,Latvia,36,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Approximate share as reported in ECB release"
germany_direct_debit_share,H2_2025,Germany,31,percent,OFFICIAL_SOURCE,ECB,2026-07-22,https://www.ecb.europa.eu/press/stats/paysec/html/ecb.pis2025h2~23986fb4a6.en.html,"Approximate share as reported in ECB release"
